sensor,time,type,logit
1,999,others,0
1,833,double,1.0
2,105,double,1.0
3,389,double,1.0
4,122,double,1.0
1,100,double,0.62
2,122,double,0.62
3,117,double,0.62
4,113,double,0.62
1,102,single,0.99
2,116,single,0.99
3,145,single,0.99
4,97,single,0.99
1,85,others,0
1,36,double,0.86
2,67,double,0.86
3,127,double,0.86
4,117,double,0.86
1,95,double,0.58
2,102,double,0.58
3,110,double,0.58
4,130,double,0.58
1,93,double,0.78
2,81,double,0.78
3,99,double,0.78
4,108,double,0.78
1,83,double,0.82
2,62,double,0.82
3,95,double,0.82
4,50,double,0.82
1,41,double,1.0
2,37,double,1.0
2,17,others,0
3,87,double,1.0
4,76,double,1.0
1,58,double,0.99
2,56,double,0.99
3,86,double,0.99
4,51,double,0.99
1,51,single,0.94
2,24,single,0.94
2,33,others,0
3,86,single,0.94
4,77,single,0
1,55,others,0
3,101,others,0
4,51,others,0
1,54,double,1.0
2,49,double,1.0
3,74,double,1.0
4,75,double,1.0
1,51,double,0.99
2,61,double,0.99
3,82,double,0.99
4,57,double,0.99
1,50,double,0.66
2,29,double,0.66
2,36,others,0
3,79,double,0.66
4,84,double,0.66
1,56,double,0.99
2,55,double,0.99
3,105,double,0.99
4,51,double,0.99
1,50,double,0.94
2,71,double,0.94
3,91,double,0.94
4,111,double,0.94
1,82,single,0.77
2,90,single,0.77
3,93,single,0.77
4,156,single,0.77
1,100,single,0.94
2,105,single,0.94
3,145,single,0.94
4,110,single,0.94
1,98,single,0.89
2,103,single,0.89
3,132,single,0.89
4,126,single,0.89
1,90,single,0.91
2,94,single,0.91
3,135,single,0.91
4,123,single,0.91
1,94,single,0.71
2,77,single,0.71
3,123,single,0.71
4,83,single,0.71
1,72,double,0.94
2,53,double,0.94
3,101,double,0.94
4,48,double,0.94
1,45,double,1.0
2,35,double,1.0
2,30,others,0
3,75,double,1.0
4,75,double,1.0
1,50,double,0.99
2,63,double,0.99
3,90,double,0.99
4,53,double,0.99
1,56,single,0.99
2,23,single,0.99
2,33,others,0
3,87,single,0.99
4,79,single,0
1,52,double,0.99
2,50,double,0.99
3,111,double,0.99
4,48,double,0.99
1,46,double,0.99
2,62,double,0.99
3,92,double,0.99
4,76,double,0.99
1,50,double,1.0
2,51,double,1.0
3,97,double,1.0
4,46,double,1.0
1,48,double,0.99
2,56,double,0.99
3,90,double,0.99
4,88,double,0.99
1,60,double,0.99
2,54,double,0.99
3,99,double,0.99
4,50,double,0.99
1,50,double,0.83
2,69,double,0.83
3,105,double,0.83
4,128,double,0.83
1,82,single,0.6
2,92,single,0.6
3,102,single,0.6
4,141,single,0.6
1,95,single,0.88
2,91,single,0.88
3,127,single,0.88
4,136,single,0.88
1,103,single,0.88
2,102,single,0.88
3,126,single,0.88
4,135,single,0.88
1,80,single,0.99
2,106,single,0.99
3,142,single,0.99
4,123,single,0.99
1,90,single,0.95
2,82,single,0.95
3,137,single,0.95
4,68,single,0.95
1,71,double,0.93
2,67,double,0.93
3,95,double,0.93
4,56,double,0.93
1,47,double,1.0
2,44,double,1.0
2,18,others,0
3,95,double,1.0
4,79,double,1.0
1,45,double,1.0
2,57,double,1.0
3,102,double,1.0
4,51,double,1.0
1,51,double,0.99
2,60,double,0.99
3,79,double,0.99
4,78,double,0.99
1,60,single,0.79
2,23,single,0.79
2,35,others,0
3,90,single,0.79
4,49,single,0
1,48,double,0.99
2,65,double,0.99
3,84,double,0.99
4,74,double,0.99
1,51,double,0.99
2,69,double,0.99
3,90,double,0.99
4,50,double,0.99
1,50,double,0.61
2,30,double,0.61
2,30,others,0
3,86,double,0.61
4,85,double,0.61
1,64,double,0.99
2,59,double,0.99
3,97,double,0.99
4,54,double,0.99
1,47,others,0
2,14,others,0
2,20,others,0
3,12,others,0
2,95,others,0
1,73,others,0
1,999,double,1.0
2,22,double,1.0
3,222,double,1.0
4,225,double,1.0
1,118,single,0.85
2,129,single,0.85
3,134,single,0.85
4,142,single,0.85
1,99,single,0.99
2,110,single,0.99
3,160,single,0.99
4,112,single,0.99
1,83,single,1.0
2,111,single,1.0
3,149,single,1.0
4,127,single,1.0
1,99,single,0.87
2,90,single,0.87
3,132,single,0.87
4,119,single,0.87
1,98,double,0.59
2,90,double,0.59
3,111,double,0.59
4,97,double,0.59
1,68,double,0.98
2,55,double,0.98
3,101,double,0.98
4,54,double,0.98
1,52,double,0.99
2,60,double,0.99
3,80,double,0.99
4,80,double,0.99
1,52,double,0.99
2,59,double,0.99
3,94,double,0.99
4,51,double,0.99
1,53,double,0.99
2,61,double,0.99
3,83,double,0.99
4,76,double,0.99
1,61,double,0.97
2,63,double,0.97
3,90,double,0.97
4,51,double,0.97
1,52,double,1.0
2,52,double,1.0
3,87,double,1.0
4,71,double,1.0
1,64,double,0.96
2,69,double,0.96
3,84,double,0.96
4,58,double,0.96
1,50,double,1.0
2,54,double,1.0
3,83,double,1.0
4,75,double,1.0
1,64,double,0.99
2,59,double,0.99
3,94,double,0.99
4,57,double,0.99
1,59,double,0.97
2,58,double,0.97
3,88,double,0.97
4,111,double,0.97
1,79,others,0
1,21,single,0.97
2,78,single,0.97
3,83,single,0.97
4,174,single,0.97
1,89,single,0.97
2,107,single,0.97
3,141,single,0.97
3,41,others,0
4,118,single,0.97
1,83,single,0.96
2,123,single,0.96
3,140,single,0.96
4,106,single,0.96
4,535,others,0
4,235,others,0
4,686,others,0
1,999,others,0
